If a person's email or cnic has been used with more than 3 credit cards,Transaction amount is greater than $300,If 7 or more transactions have been made in a 24-hour period,Billing Adress is different than shipping address,If the Customer Country (Billing or Shipping) do not match the country set by the admin,If the customer is using a vpn to make transaction,Transaction frequency is not normal,"If the customer Ip Adress, Mac Adress or email Adress is flagged already in our system for fraudulent activity.",If the customer email Adress is from an unusual domain,Type _of_Transaction
1,1,1,1,1,1,1,1,1,Completed transactions
1,1,1,1,1,1,1,1,1,Completed transactions
1,1,1,1,1,1,1,1,1,Completed transactions
1,1,1,1,1,1,1,1,1,Completed transactions
1,1,1,1,1,1,1,1,1,Completed transactions
1,1,1,1,1,1,1,1,1,Completed transactions
1,1,1,1,1,1,1,1,1,Completed transactions
1,1,1,1,1,1,1,1,1,Completed transactions
1,1,1,1,1,1,1,1,1,Completed transactions
1,1,1,1,1,1,1,1,1,Completed transactions
1,1,1,1,1,1,1,1,1,Completed transactions
1,1,1,1,1,1,1,1,1,Completed transactions
1,1,1,1,1,1,1,1,1,Completed transactions
1,1,1,1,1,1,1,1,1,Completed transactions
1,1,1,1,1,1,1,1,1,Completed transactions
1,1,1,1,1,1,1,1,1,Completed transactions
1,1,1,1,1,1,1,1,1,Completed transactions
1,1,1,1,1,1,1,1,1,Completed transactions
1,1,1,1,1,1,1,1,1,Completed transactions
1,1,1,1,1,1,1,1,1,Completed transactions
1,1,1,1,1,1,1,1,1,Completed transactions
1,1,1,1,1,1,1,1,1,Completed transactions
1,1,1,1,1,1,1,1,1,Completed transactions
1,1,1,1,1,1,1,1,1,Compzleted transactions
1,1,1,1,0,0,0,0,0,Under-Review Transaction
1,1,1,1,0,0,0,0,0,Under-Review Transaction
1,1,1,1,0,0,0,0,0,Under-Review Transaction
1,1,1,1,0,0,0,0,0,Under-Review Transaction
1,1,1,1,0,0,0,0,0,Under-Review Transaction
1,1,1,1,0,0,0,0,0,Under-Review Transaction
1,1,1,1,0,0,0,0,0,Under-Review Transaction
1,1,1,1,0,0,0,0,0,Under-Review Transaction
1,1,1,1,0,0,0,0,0,Under-Review Transaction
1,1,1,1,0,0,0,0,0,Under-Review Transaction
1,1,1,1,0,0,0,0,0,Under-Review Transaction
1,1,1,1,0,0,0,0,0,Under-Review Transaction
1,1,1,1,0,0,0,0,0,Under-Review Transaction
1,1,1,1,0,0,0,0,0,Under-Review Transaction
1,1,1,1,0,0,0,0,0,Under-Review Transaction
1,1,1,1,0,0,0,0,0,Under-Review Transaction
1,1,1,1,0,0,0,0,0,Under-Review Transaction
1,1,1,1,0,0,0,0,0,Under-Review Transaction
1,1,1,1,0,0,0,0,0,Under-Review Transaction
1,1,1,1,0,0,0,0,0,Under-Review Transaction
1,1,1,1,0,0,0,0,0,Under-Review Transaction
1,1,1,1,0,0,0,0,0,Under-Review Transaction
1,1,1,1,0,0,0,0,0,Under-Review Transaction
1,1,1,1,0,0,0,0,0,Under-Review Transaction
1,1,1,1,0,0,0,0,0,Under-Review Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,1,1,1,0,0,Declined Transaction
0,0,0,0,0,0,0,1,1,Flagged Transactions
0,0,0,0,0,0,0,1,1,Flagged Transactions
0,0,0,0,0,0,0,1,1,Flagged Transactions
0,0,0,0,0,0,0,1,1,Flagged Transactions
0,0,0,0,0,0,0,1,1,Flagged Transactions
0,0,0,0,0,0,0,1,1,Flagged Transactions
0,0,0,0,0,0,0,1,1,Flagged Transactions
0,0,0,0,0,0,0,1,1,Flagged Transactions
0,0,0,0,0,0,0,1,1,Flagged Transactions
0,0,0,0,0,0,0,1,1,Flagged Transactions
0,0,0,0,0,0,0,1,1,Flagged Transactions
0,0,0,0,0,0,0,1,1,Flagged Transactions
0,0,0,0,0,0,0,1,1,Flagged Transactions
0,0,0,0,0,0,0,1,1,Flagged Transactions
0,0,0,0,0,0,0,1,1,Flagged Transactions
0,0,0,0,0,0,0,1,1,Flagged Transactions
0,0,0,0,0,0,0,1,1,Flagged Transactions
0,0,0,0,0,0,0,1,1,Flagged Transactions
0,0,0,0,0,0,0,1,1,Flagged Transactions
0,0,0,0,0,0,0,1,1,Flagged Transactions
0,0,0,0,0,0,0,1,1,Flagged Transactions
0,0,0,0,0,0,0,1,1,Flagged Transactions
0,0,0,0,0,0,0,1,1,Flagged Transactions
0,0,0,0,0,0,0,1,1,Flagged Transactions
0,0,0,0,0,0,0,1,1,Flagged Transactions
